"name","href"
"Ministry Of Communications And Information (MCI)","http://www.mci.gov.sg"
"Ministry Of Culture, Community And Youth (MCCY)","http://www.mccy.gov.sg"
"Ministry Of Defence (MINDEF)","http://www.mindef.gov.sg/"
"Ministry Of Education (MOE)","http://www.moe.gov.sg"
"Ministry Of Finance (MOF)","http://www.mof.gov.sg"
"Ministry Of Foreign Affairs (MFA)","http://www.mfa.gov.sg"
"Ministry Of Health (MOH)","http://www.moh.gov.sg"
"Ministry Of Home Affairs (MHA)","http://www.mha.gov.sg"
"Ministry Of Law (MINLAW)","http://www.mlaw.gov.sg/"
"Ministry Of Manpower (MOM)","http://www.mom.gov.sg"
"Ministry Of National Development (MND)","http://www.mnd.gov.sg"
"Ministry Of Social And Family Development (MSF)","http://www.msf.gov.sg"
"Ministry Of The Environment And Water Resources (MEWR)","http://www.mewr.gov.sg"
"Ministry Of Trade And Industry (MTI)","http://www.mti.gov.sg"
"Ministry Of Transport (MOT)","http://www.mot.gov.sg"
"Prime Ministerâ€™s Office (PMO)","http://www.pmo.gov.sg"
